heating,heating_fan,hotwater,lights,lgappl,vent_fan,misc,electkwh,heatingkwh,hotwaterkwh,Date/Time,PV_generation,Temperature
7.27139,0.041142,0.0,0.094099,0.059063,0.0,0.201439,0.354601,7.312532,0.0, 01/07  23:00:00,0.0,-19.073
4.847593,0.041142,0.576442,0.045814,0.049175,0.0,0.181295,0.27628400000000003,4.888735,0.576442, 01/07  24:00:00,0.0,-19.189
3.635695,0.041142,2.009263,0.022749,0.042381,0.0,0.176259,0.241389,3.676837,2.009263, 01/08  01:00:00,0.0,-19.32
4.847593,0.041142,0.0,0.013649,0.041584,0.0,0.166187,0.22142,4.888735,0.0, 01/08  02:00:00,0.0,-19.471
7.27139,0.041142,0.0,0.009099,0.036289,0.0,0.161151,0.20653899999999997,7.312532,0.0, 01/08  03:00:00,0.0,-19.461
7.27139,0.041142,0.0,0.009099,0.035492,0.0,0.156115,0.200706,7.312532,0.0, 01/08  04:00:00,0.0,-19.339
6.059491,0.041142,0.0,0.010117,0.039192,0.0,0.161151,0.21045999999999998,6.100633,0.0, 01/08  05:00:00,0.0,-18.843
6.059491,0.041142,0.0,0.027759,0.045189,0.0,0.166187,0.239135,6.100633,0.0, 01/08  06:00:00,0.0,-18.095
7.383548,0.041142,0.0,0.065169,0.067773,0.025,0.186331,0.344273,7.42469,0.0, 01/08  07:00:00,0.0,-17.838
7.304001,0.041142,1.026726,0.08247,0.094854,0.005,0.211511,0.393835,7.345143,1.026726, 01/08  08:00:00,0.029,-17.81
5.453542,0.045713,2.82522,0.087643,0.101649,0.0,0.216547,0.405839,5.499255,2.82522, 01/08  09:00:00,0.527,-17.399
4.847593,0.041142,1.015254,0.09009,0.104647,0.0,0.216547,0.411284,4.888735,1.015254, 01/08  10:00:00,1.377,-16.57
4.443627,0.039999,0.396936,0.087641,0.185312,0.0,0.216547,0.4895,4.483626,0.396936, 01/08  11:00:00,1.716,-15.531
4.241644,0.041142,0.0,0.084247,0.148032,0.0,0.221583,0.453862,4.282786,0.0, 01/08  12:00:00,1.469,-14.408
3.635695,0.037713,0.0,0.081798,0.118937,0.0,0.226619,0.427354,3.6734080000000002,0.0, 01/08  13:00:00,1.354,-13.408
6.059491,0.041142,0.0,0.081077,0.102446,0.0,0.226619,0.410142,6.100633,0.0, 01/08  14:00:00,1.134,-12.492
4.847593,0.041142,0.434958,0.082929,0.118937,0.0,0.221583,0.42344899999999996,4.888735,0.434958, 01/08  15:00:00,0.668,-11.82
4.847593,0.041142,0.0,0.093126,0.09865,0.0,0.231655,0.423431,4.888735,0.0, 01/08  16:00:00,0.15,-11.332
3.029746,0.04457,0.816901,0.117422,0.495427,0.0,0.241727,0.854576,3.0743159999999996,0.816901, 01/08  17:00:00,0.0,-10.601
2.423797,0.037713,2.684728,0.155244,0.48116,0.025,0.26187,0.9232739999999999,2.46151,2.684728, 01/08  18:00:00,0.0,-9.655
6.059491,0.041142,0.23922,0.183734,0.21527,0.005,0.266906,0.67091,6.100633,0.23922, 01/08  19:00:00,0.0,-8.665
6.059491,0.041142,0.0,0.177507,0.128218,0.0,0.251798,0.557523,6.100633,0.0, 01/08  20:00:00,0.0,-7.742
7.27139,0.041142,0.0,0.142545,0.08994,0.0,0.236691,0.46917600000000004,7.312532,0.0, 01/08  21:00:00,0.0,-6.997
4.847593,0.041142,0.874675,0.107641,0.07415,0.0,0.226619,0.40840999999999994,4.888735,0.874675, 01/08  22:00:00,0.0,-7.483
3.635695,0.041142,0.0,0.094099,0.059063,0.0,0.201439,0.354601,3.676837,0.0, 01/08  23:00:00,0.0,-9.248
3.635695,0.041142,0.0,0.045814,0.049175,0.0,0.181295,0.27628400000000003,3.676837,0.0, 01/08  24:00:00,0.0,-10.174
3.635695,0.041142,0.0,0.022749,0.042381,0.0,0.176259,0.241389,3.676837,0.0, 01/09  01:00:00,0.0,-10.452
4.847593,0.041142,0.0,0.013649,0.041584,0.0,0.166187,0.22142,4.888735,0.0, 01/09  02:00:00,0.0,-10.459
6.059491,0.041142,0.0,0.009099,0.036289,0.0,0.161151,0.20653899999999997,6.100633,0.0, 01/09  03:00:00,0.0,-10.602
3.635695,0.041142,0.0,0.009099,0.035492,0.0,0.156115,0.200706,3.676837,0.0, 01/09  04:00:00,0.0,-10.982
