heating,heating_fan,hotwater,lights,lgappl,vent_fan,misc,electkwh,heatingkwh,hotwaterkwh,PV_generation,Temperature,month,day,hour
2.423797,0.037712999999999997,2.968661,0.177507,0.128218,0.0,0.251798,0.557523,2.4615099999999996,2.968661,0.0,-10.354000000000001,1,6,19
3.6356949999999997,0.041142000000000005,0.871764,0.142545,0.08993999999999999,0.0,0.23669099999999998,0.469176,3.6768370000000004,0.871764,0.0,-10.6,1,6,20
6.059491,0.041142000000000005,1.604678,0.10764100000000001,0.07415,0.0,0.22661900000000001,0.40841,6.100633,1.604678,0.0,-10.686,1,6,21
4.847593,0.041142000000000005,0.0,0.094099,0.059063,0.0,0.201439,0.354601,4.888735,0.0,0.0,-10.831,1,6,22
6.059491,0.041142000000000005,0.0,0.045814,0.049175,0.0,0.181295,0.27628400000000003,6.100633,0.0,0.0,-11.100999999999999,1,6,23
6.059491,0.041142000000000005,0.0,0.022749000000000002,0.042381,0.0,0.176259,0.241389,6.100633,0.0,0.0,-11.36,1,7,0
6.059491,0.041142000000000005,0.0,0.013649000000000001,0.041583999999999996,0.0,0.166187,0.22141999999999998,6.100633,0.0,0.0,-11.955,1,7,1
3.6356949999999997,0.041142000000000005,0.0,0.009099,0.036289,0.0,0.161151,0.206539,3.6768370000000004,0.0,0.0,-12.725999999999999,1,7,2
7.271389999999999,0.041142000000000005,0.392389,0.009099,0.035492,0.0,0.156115,0.200706,7.312532000000001,0.392389,0.0,-13.498,1,7,3
6.059491,0.041142000000000005,0.0,0.010117000000000001,0.039192000000000005,0.0,0.161151,0.21046,6.100633,0.0,0.0,-14.097999999999999,1,7,4
7.271389999999999,0.041142000000000005,0.0,0.027759,0.045189,0.0,0.166187,0.239135,7.312532000000001,0.0,0.0,-14.535,1,7,5
7.359228,0.041142000000000005,0.514273,0.065169,0.067773,0.025,0.186331,0.344273,7.40037,0.514273,0.0,-14.937999999999999,1,7,6
7.284329,0.041142000000000005,0.0,0.08247,0.094854,0.005,0.211511,0.393835,7.3254709999999985,0.0,0.20600000000000002,-15.308,1,7,7
5.251558999999999,0.045713,0.498647,0.087643,0.23002399999999998,0.0,0.216547,0.5342140000000001,5.297272,0.498647,2.0780000000000003,-15.277999999999999,1,7,8
4.847593,0.041142000000000005,0.0,0.09009,0.19333699999999998,0.0,0.216547,0.499974,4.888735,0.0,4.1610000000000005,-15.075999999999999,1,7,9
5.453542,0.039999,0.0,0.087641,0.094854,0.0,0.216547,0.399042,5.4935410000000005,0.0,5.308,-14.732999999999999,1,7,10
6.059491,0.041142000000000005,0.0,0.084247,0.106848,0.0,0.221583,0.412678,6.100633,0.0,6.0920000000000005,-14.454,1,7,11
4.241644,0.037712999999999997,0.849045,0.081798,0.11893699999999999,0.0,0.22661900000000001,0.427354,4.279357,0.849045,5.718999999999999,-14.311,1,7,12
6.059491,0.041142000000000005,0.315075,0.081077,0.10244600000000001,0.0,0.22661900000000001,0.410142,6.100633,0.315075,5.026,-14.290999999999999,1,7,13
3.6356949999999997,0.041142000000000005,0.0,0.082929,0.11893699999999999,0.0,0.221583,0.423449,3.6768370000000004,0.0,3.657,-14.468,1,7,14
4.847593,0.04457,0.0,0.093126,0.09865,0.0,0.23165500000000003,0.42343100000000006,4.892163,0.0,1.495,-14.870999999999999,1,7,15
4.241644,0.042283999999999995,0.0,0.117422,0.173005,0.0,0.241727,0.532154,4.2839279999999995,0.0,0.038,-15.663,1,7,16
7.271389999999999,0.03657,0.0,0.155244,0.26315,0.025,0.26187,0.705264,7.30796,0.0,0.0,-16.812,1,7,17
7.271389999999999,0.04457,0.0,0.18373399999999998,0.21527,0.005,0.266906,0.67091,7.31596,0.0,0.0,-17.625,1,7,18
4.847593,0.037712999999999997,0.0,0.177507,0.128218,0.0,0.251798,0.557523,4.885306,0.0,0.0,-18.143,1,7,19
4.847593,0.041142000000000005,0.45140600000000003,0.142545,0.08993999999999999,0.0,0.23669099999999998,0.469176,4.888735,0.45140600000000003,0.0,-18.542,1,7,20
4.847593,0.041142000000000005,0.42981199999999997,0.10764100000000001,0.07415,0.0,0.22661900000000001,0.40841,4.888735,0.42981199999999997,0.0,-18.873,1,7,21
7.271389999999999,0.041142000000000005,0.0,0.094099,0.059063,0.0,0.201439,0.354601,7.312532000000001,0.0,0.0,-19.073,1,7,22
4.847593,0.041142000000000005,0.576442,0.045814,0.049175,0.0,0.181295,0.27628400000000003,4.888735,0.576442,0.0,-19.189,1,7,23
3.6356949999999997,0.041142000000000005,2.0092630000000002,0.022749000000000002,0.042381,0.0,0.176259,0.241389,3.6768370000000004,2.0092630000000002,0.0,-19.32,1,8,0
4.847593,0.041142000000000005,0.0,0.013649000000000001,0.041583999999999996,0.0,0.166187,0.22141999999999998,4.888735,0.0,0.0,-19.471,1,8,1
7.271389999999999,0.041142000000000005,0.0,0.009099,0.036289,0.0,0.161151,0.206539,7.312532000000001,0.0,0.0,-19.461,1,8,2
7.271389999999999,0.041142000000000005,0.0,0.009099,0.035492,0.0,0.156115,0.200706,7.312532000000001,0.0,0.0,-19.339000000000002,1,8,3
6.059491,0.041142000000000005,0.0,0.010117000000000001,0.039192000000000005,0.0,0.161151,0.21046,6.100633,0.0,0.0,-18.843,1,8,4
6.059491,0.041142000000000005,0.0,0.027759,0.045189,0.0,0.166187,0.239135,6.100633,0.0,0.0,-18.095,1,8,5
7.383547999999999,0.041142000000000005,0.0,0.065169,0.067773,0.025,0.186331,0.344273,7.424689999999999,0.0,0.0,-17.838,1,8,6
7.3040009999999995,0.041142000000000005,1.026726,0.08247,0.094854,0.005,0.211511,0.393835,7.345142999999999,1.026726,0.028999999999999998,-17.81,1,8,7
5.453542,0.045713,2.8252200000000003,0.087643,0.101649,0.0,0.216547,0.405839,5.499255000000001,2.8252200000000003,0.527,-17.399,1,8,8
4.847593,0.041142000000000005,1.015254,0.09009,0.104647,0.0,0.216547,0.41128400000000004,4.888735,1.015254,1.3769999999999998,-16.57,1,8,9
4.443626999999999,0.039999,0.396936,0.087641,0.18531199999999998,0.0,0.216547,0.4895,4.483626,0.396936,1.716,-15.530999999999999,1,8,10
4.241644,0.041142000000000005,0.0,0.084247,0.148032,0.0,0.221583,0.453862,4.282786,0.0,1.469,-14.408,1,8,11
3.6356949999999997,0.037712999999999997,0.0,0.081798,0.11893699999999999,0.0,0.22661900000000001,0.427354,3.673408,0.0,1.354,-13.408,1,8,12
